function_or_program_or_project_or_activity_a,function_or_program_or_project_or_activity_b,appropriation,allotment,obligation,balance_of_appropriation,balance_of_allotments
Social Services-2802 Anti-Smoking Campaign/Advertisement (3000-200.1.4 D5)(PHO)-280201,Social Services-2802 Anti-Smoking Campaign/Advertisement (3000-200.1.4 D5)(PHO)-280201,300000,0,0,300000,0
Social Services-2802 Anti-Smoking Campaign/Advertisement (3000-200.1.4 D5)(PHO)-280201,Maintenance and Other Operating Expenses,300000,0,0,300000,0
Upgrading of Laboratory Equipments of the Provincial Public Health Laboratory (3000-200.3.5)(PHO)-280202,Upgrading of Laboratory Equipments of the Provincial Public Health Laboratory (3000-200.3.5)(PHO)-280202,900000,0,0,900000,0
Upgrading of Laboratory Equipments of the Provincial Public Health Laboratory (3000-200.3.5)(PHO)-280202,Capital Outlay,900000,0,0,900000,0
Provision/Construction of Sanitary Toilets to Indigents/Poor Families Living in the Province of Nueva Vizcaya (3000-200.3.6)(PHO)-280203,Provision/Construction of Sanitary Toilets to Indigents/Poor Families Living in the Province of Nueva Vizcaya (3000-200.3.6)(PHO)-280203,750000,0,0,750000,0
Provision/Construction of Sanitary Toilets to Indigents/Poor Families Living in the Province of Nueva Vizcaya (3000-200.3.6)(PHO)-280203,Maintenance and Other Operating Expenses,750000,0,0,750000,0
Improvement of Reservoir Tank (3000-200.4.7)(Pwws)-280204,Improvement of Reservoir Tank (3000-200.4.7)(Pwws)-280204,150000,0,0,150000,0
Improvement of Reservoir Tank (3000-200.4.7)(Pwws)-280204,Maintenance and Other Operating Expenses,150000,0,0,150000,0
Upgrading/Extension of Waterlines (3000-200.4.8)(PWWS)-280205,Upgrading/Extension of Waterlines (3000-200.4.8)(PWWS)-280205,500000,0,0,500000,0
Upgrading/Extension of Waterlines (3000-200.4.8)(PWWS)-280205,Maintenance and Other Operating Expenses,500000,0,0,500000,0
Support of Water Supply Project Provincewide (3000-200.4.9)(PWWS)-280206,Support of Water Supply Project Provincewide (3000-200.4.9)(PWWS)-280206,2000000,0,0,2000000,0
Support of Water Supply Project Provincewide (3000-200.4.9)(PWWS)-280206,Maintenance and Other Operating Expenses,2000000,0,0,2000000,0
Upgrading of Medical Equipments and Others (3000-200.5.4.2.1)(NVPH)-280207,Upgrading of Medical Equipments and Others (3000-200.5.4.2.1)(NVPH)-280207,4000000,0,0,4000000,0
Upgrading of Medical Equipments and Others (3000-200.5.4.2.1)(NVPH)-280207,Capital Outlay,4000000,0,0,4000000,0
Completion of Perimeter Fence Phase III (Extension Lot)(3000-200.5.4.2.4)(NVPH)-280208,Completion of Perimeter Fence Phase III (Extension Lot)(3000-200.5.4.2.4)(NVPH)-280208,650000,0,0,650000,0
Completion of Perimeter Fence Phase III (Extension Lot)(3000-200.5.4.2.4)(NVPH)-280208,Capital Outlay,650000,0,0,650000,0
Construction of Garage (3000-200.5.5.13)(DDH)-280209,Construction of Garage (3000-200.5.5.13)(DDH)-280209,300000,0,0,300000,0
Construction of Garage (3000-200.5.5.13)(DDH)-280209,Capital Outlay,300000,0,0,300000,0
Construction of Perimeter Fence Phase V (3000-200.5.5.15)(DDH)-280210,Construction of Perimeter Fence Phase V (3000-200.5.5.15)(DDH)-280210,200000,0,0,200000,0
Construction of Perimeter Fence Phase V (3000-200.5.5.15)(DDH)-280210,Capital Outlay,200000,0,0,200000,0
Construction of Perimeter Light Posts and Installation of Perimeter Light (3000-200.5.5.16)(DDH)-280211,Construction of Perimeter Light Posts and Installation of Perimeter Light (3000-200.5.5.16)(DDH)-280211,200000,0,0,200000,0
Construction of Perimeter Light Posts and Installation of Perimeter Light (3000-200.5.5.16)(DDH)-280211,Capital Outlay,200000,0,0,200000,0
"Upgrading of Medical, Diagnostic and Technical Equipment (3000-200.5.6.8)(KMH)-280212","Upgrading of Medical, Diagnostic and Technical Equipment (3000-200.5.6.8)(KMH)-280212",650000,0,0,650000,0
"Upgrading of Medical, Diagnostic and Technical Equipment (3000-200.5.6.8)(KMH)-280212",Capital Outlay,650000,0,0,650000,0
Construction of Perimeter Fence (3000-200.5.6.10)(KMH)-280213,Construction of Perimeter Fence (3000-200.5.6.10)(KMH)-280213,300000,0,0,300000,0
Construction of Perimeter Fence (3000-200.5.6.10)(KMH)-280213,Capital Outlay,300000,0,0,300000,0
Construction of Drainage and Sewerage System (3000-200.5.6.11) (KMH)-280214,Construction of Drainage and Sewerage System (3000-200.5.6.11) (KMH)-280214,150000,0,0,150000,0
Construction of Drainage and Sewerage System (3000-200.5.6.11) (KMH)-280214,Capital Outlay,150000,0,0,150000,0
Improvement of Waste Management System (3000-200.5.7.10)(LTMH)-280215,Improvement of Waste Management System (3000-200.5.7.10)(LTMH)-280215,100000,0,0,100000,0
Improvement of Waste Management System (3000-200.5.7.10)(LTMH)-280215,Maintenance and Other Operating Expenses,100000,0,0,100000,0
Improvement of LTMH Water System (3000-200.5.7.11)(LTMH)-280216,Improvement of LTMH Water System (3000-200.5.7.11)(LTMH)-280216,100000,0,0,100000,0
Improvement of LTMH Water System (3000-200.5.7.11)(LTMH)-280216,Maintenance and Other Operating Expenses,100000,0,0,100000,0
Construction of Cadaver Holding Area (3000-200.5.7.13)(LTMH)-280217,Construction of Cadaver Holding Area (3000-200.5.7.13)(LTMH)-280217,100000,0,0,100000,0
Construction of Cadaver Holding Area (3000-200.5.7.13)(LTMH)-280217,Capital Outlay,100000,0,0,100000,0
Establishment of Hospitals in the North (3000-200.5.8)-280218,Establishment of Hospitals in the North (3000-200.5.8)-280218,8000000,0,0,8000000,0
Establishment of Hospitals in the North (3000-200.5.8)-280218,Capital Outlay,8000000,0,0,8000000,0
Provincial Youth Center (3000-200.7.10)(Go-Population)-280219,Provincial Youth Center (3000-200.7.10)(Go-Population)-280219,500000,0,0,500000,0
Provincial Youth Center (3000-200.7.10)(Go-Population)-280219,Maintenance and Other Operating Expenses,500000,0,0,500000,0
Special Program for the Employment of Students (Spes)(3000-300.1)(Go-PHRMO)-280220,Special Program for the Employment of Students (Spes)(3000-300.1)(Go-PHRMO)-280220,1000000,500000,280044.33,500000,219955.67
Special Program for the Employment of Students (Spes)(3000-300.1)(Go-PHRMO)-280220,Maintenance and Other Operating Expenses,1000000,500000,280044.33,500000,219955.67
Provincial Housing Project (Go-Gk)(3000-400.1.10)-280221,Provincial Housing Project (Go-Gk)(3000-400.1.10)-280221,4000000,0,0,4000000,0
Provincial Housing Project (Go-Gk)(3000-400.1.10)-280221,Maintenance and Other Operating Expenses,4000000,0,0,4000000,0
Integrated Social Services for the Poor (3000-500.2.1.2)(PSWDO)-280222,Integrated Social Services for the Poor (3000-500.2.1.2)(PSWDO)-280222,2000000,0,0,2000000,0
Integrated Social Services for the Poor (3000-500.2.1.2)(PSWDO)-280222,Maintenance and Other Operating Expenses,2000000,0,0,2000000,0
Upgrading of Provincial Halfway Home Facility (3000-500.2.3)(PSWDO)-280223,Upgrading of Provincial Halfway Home Facility (3000-500.2.3)(PSWDO)-280223,200000,0,0,200000,0
Upgrading of Provincial Halfway Home Facility (3000-500.2.3)(PSWDO)-280223,Maintenance and Other Operating Expenses,200000,0,0,200000,0
Rehabilitation of Provincial Government Facilities/Buildings within the Capitol Compound Managed by the Provincial Federation Of PWDS (3000-500.2.4)(PSWDO)-280224,Rehabilitation of Provincial Government Facilities/Buildings within the Capitol Compound Managed by the Provincial Federation Of PWDS (3000-500.2.4)(PSWDO)-280224,200000,0,0,200000,0
Rehabilitation of Provincial Government Facilities/Buildings within the Capitol Compound Managed by the Provincial Federation Of PWDS (3000-500.2.4)(PSWDO)-280224,Maintenance and Other Operating Expenses,200000,0,0,200000,0
Rehabilitation of the Provincial Senior Citizen Model Center (3000-500-2.5)-280225,Rehabilitation of the Provincial Senior Citizen Model Center (3000-500-2.5)-280225,200000,0,0,200000,0
Rehabilitation of the Provincial Senior Citizen Model Center (3000-500-2.5)-280225,Maintenance and Other Operating Expenses,200000,0,0,200000,0
Establishment of Database for the Poor (3000-500.2.6)(PPDO)-280226,Establishment of Database for the Poor (3000-500.2.6)(PPDO)-280226,3000000,0,0,3000000,0
Establishment of Database for the Poor (3000-500.2.6)(PPDO)-280226,Maintenance and Other Operating Expenses,3000000,0,0,3000000,0
Establishment of Livelihood Center for PSWDO of Nueva Vizcaya (3000-500.2.7) (PSWDO) - 280227,Establishment of Livelihood Center for PSWDO of Nueva Vizcaya (3000-500.2.7) (PSWDO) - 280227,200000,0,0,200000,0
Establishment of Livelihood Center for PSWDO of Nueva Vizcaya (3000-500.2.7) (PSWDO) - 280227,Maintenance and Other Operating Expenses,200000,0,0,200000,0
Revival of Ethnic Attires For LPS (3000-500.2.8)(PSWDO)-280228,Revival of Ethnic Attires For LPS (3000-500.2.8)(PSWDO)-280228,100000,0,0,100000,0
Revival of Ethnic Attires For LPS (3000-500.2.8)(PSWDO)-280228,Maintenance and Other Operating Expenses,100000,0,0,100000,0
Food for Work Project (3000-500.2.9)(Go-PSWDO)-280229,Food for Work Project (3000-500.2.9)(Go-PSWDO)-280229,2000000,0,0,2000000,0
Food for Work Project (3000-500.2.9)(Go-PSWDO)-280229,Maintenance and Other Operating Expenses,2000000,0,0,2000000,0
Crime Prevention and Control (3000-500.6.1)(NVPPO)-280230,Crime Prevention and Control (3000-500.6.1)(NVPPO)-280230,500000,0,0,500000,0
Crime Prevention and Control (3000-500.6.1)(NVPPO)-280230,Maintenance and Other Operating Expenses,500000,0,0,500000,0
Economic Services-2803 Crops and Fishery Development Program-280301 Corn Based Farming Livelihood Assistance (8000.6.3)-28030101,Economic Services-2803 Crops and Fishery Development Program-280301 Corn Based Farming Livelihood Assistance (8000.6.3)-28030101,3000000,0,0,3000000,0
Economic Services-2803 Crops and Fishery Development Program-280301 Corn Based Farming Livelihood Assistance (8000.6.3)-28030101,Maintenance and Other Operating Expenses,3000000,0,0,3000000,0
Vegetable (8000.6.4)-28030102, Vegetable (8000.6.4)-28030102,285000,0,0,285000,0
Vegetable (8000.6.4)-28030102,Maintenance and Other Operating Expenses,285000,0,0,285000,0
Fruit Tree (8000.6.5)-28030103,Fruit Tree (8000.6.5)-28030103,350000,0,0,350000,0
Fruit Tree (8000.6.5)-28030103,Maintenance and Other Operating Expenses,350000,0,0,350000,0
Rehabilitation/Development of the Provincial Nursery/Artc (8000.6.7)-28030104,Rehabilitation/Development of the Provincial Nursery/Artc (8000.6.7)-28030104,500000,500000,51889.7,0,448110.3
Rehabilitation/Development of the Provincial Nursery/Artc (8000.6.7)-28030104,Capital Outlay,500000,500000,51889.7,0,448110.3
Housing for Village Type Corn Dryer Phase 2 Sto. Domingo Proper Bambang (Counterpart to DA Fund Support)(8000.6.11.A)-28030105,Housing for Village Type Corn Dryer Phase 2 Sto. Domingo Proper Bambang (Counterpart to DA Fund Support)(8000.6.11.A)-28030105,650000,0,0,650000,0
Housing for Village Type Corn Dryer Phase 2 Sto. Domingo Proper Bambang (Counterpart to DA Fund Support)(8000.6.11.A)-28030105,Capital Outlay,650000,0,0,650000,0
Housing for Village Type Corn Dryer Bagabag Nueva Vizcaya (Counteprart to DA Fund Support)(8000.6.11.B)-28030106,Housing for Village Type Corn Dryer Bagabag Nueva Vizcaya (Counteprart to DA Fund Support)(8000.6.11.B)-28030106,1650000,0,0,1650000,0
Housing for Village Type Corn Dryer Bagabag Nueva Vizcaya (Counteprart to DA Fund Support)(8000.6.11.B)-28030106,Capital Outlay,1650000,0,0,1650000,0
Establishment of Multi-Purpose Drying Faciltiies(8000.6.11.C)-28030107,Establishment of Multi-Purpose Drying Faciltiies(8000.6.11.C)-28030107,1700000,0,0,1700000,0
Establishment of Multi-Purpose Drying Faciltiies(8000.6.11.C)-28030107,Capital Outlay,1700000,0,0,1700000,0
Rehabilitation of Irrigation System (8000.6.13)-28030108,Rehabilitation of Irrigation System (8000.6.13)-28030108,5000000,0,0,5000000,0
Rehabilitation of Irrigation System (8000.6.13)-28030108,Capital Outlay,5000000,0,0,5000000,0
Construction/Rehabilitation of Small Water Impounding Projects (8000.6.14)-28030109,Construction/Rehabilitation of Small Water Impounding Projects (8000.6.14)-28030109,2000000,0,0,2000000,0
Construction/Rehabilitation of Small Water Impounding Projects (8000.6.14)-28030109,Capital Outlay,2000000,0,0,2000000,0
Rehabilitation and Development of Polloc Hatchery Farm Facility (8000.6.17)-28030110,Rehabilitation and Development of Polloc Hatchery Farm Facility (8000.6.17)-28030110,1000000,600000,92284.24,400000,507715.76
Rehabilitation and Development of Polloc Hatchery Farm Facility (8000.6.17)-28030110,Capital Outlay,1000000,600000,92284.24,400000,507715.76
Farm Aminals and Pet Animals Development Program-280302 Swine Upgrading Project (Purchase And Maintenance Of Boar) (8000.7.3)-28030201,Farm Aminals and Pet Animals Development Program-280302 Swine Upgrading Project (Purchase And Maintenance Of Boar) (8000.7.3)-28030201,150000,100300,0,49700,100300
Farm Aminals and Pet Animals Development Program-280302 Swine Upgrading Project (Purchase And Maintenance Of Boar) (8000.7.3)-28030201,Capital Outlay,150000,100300,0,49700,100300
Carabao and Cattle Upgrading Project (Purchase Of AI Equipments)(8000.7.5)-28030202,Carabao and Cattle Upgrading Project (Purchase Of AI Equipments)(8000.7.5)-28030202,200000,112750,0,87250,112750
Carabao and Cattle Upgrading Project (Purchase Of AI Equipments)(8000.7.5)-28030202,Capital Outlay,200000,112750,0,87250,112750
Small Ruminants Livelihood Project (Purcahse and Maintenance of Stocks) (8000.7.7)-28030203,Small Ruminants Livelihood Project (Purcahse and Maintenance of Stocks) (8000.7.7)-28030203,690000,390000,0,300000,390000
Small Ruminants Livelihood Project (Purcahse and Maintenance of Stocks) (8000.7.7)-28030203,Capital Outlay,690000,390000,0,300000,390000
Dairy Development Project (Purchase Of Stocks)(8000.7.9)-28030204,Dairy Development Project (Purchase Of Stocks)(8000.7.9)-28030204,400000,0,0,400000,0
Dairy Development Project (Purchase Of Stocks)(8000.7.9)-28030204,Capital Outlay,400000,0,0,400000,0
Range Dual-Type Poultry Production Project (Purchase of Stocks)(8000.7.11)-28030205,Range Dual-Type Poultry Production Project (Purchase of Stocks)(8000.7.11)-28030205,100000,0,0,100000,0
Range Dual-Type Poultry Production Project (Purchase of Stocks)(8000.7.11)-28030205,Capital Outlay,100000,0,0,100000,0
Hog Livelihood Project (Purchase Of Stocks)(8000.7.13)-28030206,Hog Livelihood Project (Purchase Of Stocks)(8000.7.13)-28030206,1000000,250000,0,750000,250000
Hog Livelihood Project (Purchase Of Stocks)(8000.7.13)-28030206,Capital Outlay,1000000,250000,0,750000,250000
Livelihood Enterprise Development and Management Project -280303 Livelihood Enterprise Development Assistance (8000.8.4)-28030301,Livelihood Enterprise Development and Management Project -280303 Livelihood Enterprise Development Assistance (8000.8.4)-28030301,1500000,0,0,1500000,0
Livelihood Enterprise Development and Management Project -280303 Livelihood Enterprise Development Assistance (8000.8.4)-28030301,Maintenance and Other Operating Expenses,1500000,0,0,1500000,0
Other Livelihood Assistance-28030302,Other Livelihood Assistance-28030302,5000000,0,0,5000000,0
Other Livelihood Assistance-28030302,Maintenance and Other Operating Expenses,5000000,0,0,5000000,0
Tourism Development and Promotion Program-280304 Lower Magat Eco-Tourism Park Project (8000.10.6)-28030401,Tourism Development and Promotion Program-280304 Lower Magat Eco-Tourism Park Project (8000.10.6)-28030401,7000000,1500000,601577.76,5500000,898422.24
Tourism Development and Promotion Program-280304 Lower Magat Eco-Tourism Park Project (8000.10.6)-28030401,Maintenance and Other Operating Expenses,4500000,1500000,601577.76,3000000,898422.24
Tourism Development and Promotion Program-280304 Lower Magat Eco-Tourism Park Project (8000.10.6)-28030401,Capital Outlay,2500000,0,0,2500000,0
Cultural Enhancement Program-280305 Kultura sa Vizcaya (National Arts Month Celebration)(8000.11.2)-28030501,Cultural Enhancement Program-280305 Kultura Sa Vizcaya (National Arts Month Celebration)(8000.11.2)-28030501,75000,0,0,75000,0
Cultural Enhancement Program-280305 Kultura sa Vizcaya (National Arts Month Celebration)(8000.11.2)-28030501,Maintenance and Other Operating Expenses,75000,0,0,75000,0
Special Events and Eco-Challenge (8000.11.4)-28030502,Special Events and Eco-Challenge (8000.11.4)-28030502,120000,120000,0,0,120000
Special Events and Eco-Challenge (8000.11.4)-28030502,Maintenance and Other Operating Expenses,120000,120000,0,0,120000
Ammungan Festival (8000.11.5)-28030503,Ammungan Festival (8000.11.5)-28030503,500000,500000,446755.92,0,53244.08
Ammungan Festival (8000.11.5)-28030503,Maintenance and Other Operating Expenses,500000,500000,446755.92,0,53244.08
Infrastructure Development and Management-280306 Maintenance of Provincial Roads (Materials And Fuel for Heavy Equipment)(8000.1.8)-28030601,Infrastructure Development and Management-280306 Maintenance of Provincial Roads (Materials And Fuel for Heavy Equipment)(8000.1.8)-28030601,9500000,2375000,1221676.64,7125000,1153323.36
