program_or_project,activity,code,appropriation,allotment,appropriation_balance,obligation,allotment_balance
Econ. Ent. Public Market Division,-,8811 (51),5426336.5,5426336.5,-,5190310.5,236026
Econ. Ent. Public Market Division- Personal Services,-,-,4051336.5,4051336.5,-,4000455.1,50881.4
Econ. Ent. Public Market Division- Personal Services,Salaries and Wages-Regular,701,1310954,1310954,-,1302330.37,8623.63
Econ. Ent. Public Market Division- Personal Services,Salaries and Wages-Casual,705,2157917.68,2157917.68,-,2155269,2648.68
Econ. Ent. Public Market Division- Personal Services,PERA,711,112000,112000,-,107909.09,4090.91
Econ. Ent. Public Market Division- Personal Services,Clothing Allowance,715,20000,20000,-,12000,8000
Econ. Ent. Public Market Division- Personal Services,Productivity Incentive Allowance,717,40000,40000,-,34000,6000
Econ. Ent. Public Market Division- Personal Services,Cash Gift,724,25000,25000,-,25000,-
Econ. Ent. Public Market Division- Personal Services,Year- End Bonus,725,116139,116139,-,115760,379
Econ. Ent. Public Market Division- Personal Services,Life and Retirement Insurance Contributions,731,157315.32,157315.32,-,153523.4,3791.92
Econ. Ent. Public Market Division- Personal Services,PAG-IBIG Contributions,732,5600,5600,-,5400,200
Econ. Ent. Public Market Division- Personal Services,PHILHEALTH Contributions,733,14750.5,14750.5,-,14437.5,313
Econ. Ent. Public Market Division- Personal Services,ECC Contributions,734,5600,5600,-,5400,200
Econ. Ent. Public Market Division- Personal Services,Loyalty Pay,749,15000,15000,-,10000,5000
Econ. Ent. Public Market Division- Personal Services,Monetization of Leave Credits,749,71060,71060,-,59425.74,11634.26
Econ. Ent. Public Market Division- Maintenance and Other Operating Expenses,-,-,1375000,1375000,-,1189855.4,185144.6
Econ. Ent. Public Market Division- Maintenance and Other Operating Expenses,Traveling Expenses - Local,751,56000,56000,-,46490,9510
Econ. Ent. Public Market Division- Maintenance and Other Operating Expenses,Training Expenses,753,9000,9000,-,9000,-
Econ. Ent. Public Market Division- Maintenance and Other Operating Expenses,Office Supplies Expenses,755,110000,110000,-,100535.77,9464.23
Econ. Ent. Public Market Division- Maintenance and Other Operating Expenses,Accountable Forms Expenses,756,200000,200000,-,195170,4830
Econ. Ent. Public Market Division- Maintenance and Other Operating Expenses,Water Expenses,766,300000,300000,-,174593.25,125406.75
Econ. Ent. Public Market Division- Maintenance and Other Operating Expenses,Electricity Expenses,767,700000,700000,-,664066.38,35933.62
Econ. Ent. Administrative Services,-,8811-2 (51),10918313.05,10418313.05,500000,9619759.88,798553.17
Econ. Ent. Administrative Services- Personal Services,-,-,4066664.61,4066664.61,-,3758245.01,308419.6
Econ. Ent. Administrative Services- Personal Services,Salaries and Wages-Regular,701,2277369,2277369,-,2069120.14,208248.86
Econ. Ent. Administrative Services- Personal Services,Salaries and Wages-Casual,705,757397.61,757397.61,-,753747.05,3650.56
Econ. Ent. Administrative Services- Personal Services,PERA,711,228000,228000,-,209909.09,18090.91
Econ. Ent. Administrative Services- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
Econ. Ent. Administrative Services- Personal Services,Clothing Allowance,715,32000,32000,-,32000,-
Econ. Ent. Administrative Services- Personal Services,Productivity Incentive Allowance,717,28000,28000,-,26000,2000
Econ. Ent. Administrative Services- Personal Services,Hazard Pay,721,40000,40000,-,30250,9750
Econ. Ent. Administrative Services- Personal Services,Cash Gift,724,50000,50000,-,45000,5000
Econ. Ent. Administrative Services- Personal Services,Year- End Bonus,725,196493,196493,-,173426,23067
Econ. Ent. Administrative Services- Personal Services,Life and Retirement Insurance Contributions,731,273285,273285,-,248155.15,25129.85
Econ. Ent. Administrative Services- Personal Services,PAG-IBIG Contributions,732,11400,11400,-,10500,900
Econ. Ent. Administrative Services- Personal Services,PHILHEALTH Contributions,733,25163,25163,-,22662.5,2500.5
Econ. Ent. Administrative Services- Personal Services,ECC Contributions,734,11400,11400,-,10500,900
Econ. Ent. Administrative Services- Personal Services,Loyalty Pay,749,15000,15000,-,10000,5000
Econ. Ent. Administrative Services- Personal Services,Monetization of Leave Credits,749,55157,55157,-,50975.08,4181.92
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,-,-,2401648.44,2401648.44,-,2058987.02,342661.42
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Traveling Expenses - Local,751,85000,85000,-,46130,38870
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Training Expenses,753,2300,2300,-,2300,-
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Office Supplies Expenses,755,55000,55000,-,50731.15,4268.85
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Gasoline Expenses,761,750000,750000,-,640309.62,109690.38
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Other Supplies Expenses,765,92000,92000,-,82950,9050
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Postage and Deliveries,771,-,-,-,-,-
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Telephone Expenses-Landline,772,8000,8000,-,6880.72,1119.28
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Internet Expenses,774,12000,12000,-,10698,1302
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Repair and Maint - City Gov't. Building,811,1000000,1000000,-,862600.53,137399.47
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Repair and Maint - City Gov't. Building- at Tagum City ( Reference number: 224-07-12 ),-,-,250000,-,213315,36685
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Repair and Maint - City Gov't. Building- at (Public Comfort Room) New Public Market (Reference number: 267-10-12),-,-,155000,-,139394.44,15605.56
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Electrification of Tagum Trade Center (Reference number: 300-11-12 ),-,-,100000,-,97765.09,2234.91
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,New Public Market (Public Market Roof) (Reference number: 301-11-12),-,-,300000,-,249903,50097
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Terminal Repainting ( Reference number: 302-11-12 ),-,-,145000,-,125770,19230
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Installation of Net at New Public Market (Reference number: 304-11-12 ),-,-,50000,-,36453,13547
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Repair and Maint - Motor Vehicles,841,100000,100000,-,80242,19758
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Repair and Maint - Other Transportation Equipment,848,181373.44,181373.44,-,179170,2203.44
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Fidelity Bond Premiums,892,15975,15975,-,15975,-
Econ. Ent. Administrative Services- Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,969,100000,100000,-,81000,19000
Econ. Ent. Administrative Services- Capital Outlay,-,-,4450000,3950000,500000,3802527.85,147472.15
Econ. Ent. Administrative Services- Capital Outlay- Cemetery Development,-,202,2000000,2000000,-,1996925.5,3074.5
Econ. Ent. Administrative Services- Capital Outlay- Cemetery Development,Construction of Tomb Niches Duples (3 Layers) at La Filipina Public Cemetery (Reference number: 040-01-12),-,1500000,1500000,-,1498884.5,1115.5
Econ. Ent. Administrative Services- Capital Outlay- Cemetery Development,Construction of Perimeter Tomb Niches (4 Layers) at Busaon Public Cemetery (Reference number: 039-01-12),-,250000,250000,-,248391,1609
Econ. Ent. Administrative Services- Capital Outlay- Cemetery Development,Construction of Perimeter Tomb Niches (4 Layers) at Madaum Public Cemetery (Reference number: 041-01-12),-,250000,250000,-,249650,350
Econ. Ent. Administrative Services- Capital Outlay- Cemetery Development,Construction and Maintenance Of Gov't. Building,215,2000000,1500000,500000,1364602.35,135397.65
Econ. Ent. Administrative Services- Capital Outlay- Cemetery Development,"Construction and Maintenance Of Gov't. Building- at Public Market, Brgy. Mag. West(Reference number: 088-02-12)",-,-,400000,-,395274,4726
Econ. Ent. Administrative Services- Capital Outlay- Cemetery Development,"Construction and Maintenance Of Gov't. Building- at (Roof Extension ) TLAC, Magugpo West (Reference number: 0195-06-12)",-,-,850000,-,831435.35,18564.65
Econ. Ent. Administrative Services- Capital Outlay- Cemetery Development,"Concrete Pavement-Fish Landing Public Market, Brgy. Magugpo West ( Reference number: 248-09-12 )",-,-,100000,-,71598,28402
Econ. Ent. Administrative Services- Capital Outlay- Cemetery Development,"New Public Market, Magugpo West (Reference number: 306-11-12)",-,-,150000,-,66295,83705
Econ. Ent. Administrative Services- Capital Outlay- Cemetery Development,"Other Property, Plant and Equipment- Weighing Scale",250,450000,450000,-,441000,9000
Econ. Ent. Slaughterhouse or TLAC Center,-,8812(52),3623177.18,3623177.18,-,3088329.15,534848.03
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,-,-,2566547,2566547,-,2240759.77,325787.23
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,Salaries and Wages-Regular,701,1101144,1101144,-,920568,180576
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,Salaries and Wages-Casual,705,1002276,1002276,-,942725.46,59550.54
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,PERA,711,108000,108000,-,84000,24000
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,Clothing Allowance,715,12000,12000,-,8000,4000
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,Productivity Incentive Allowance,717,20000,20000,-,18000,2000
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,Cash Gift,724,25000,25000,-,20000,5000
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,Year- End Bonus,725,105202,105202,-,90154,15048
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,Life and Retirement Insurance Contributions,731,132138,132138,-,110468.16,21669.84
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,PAG-IBIG Contributions,732,5400,5400,-,4200,1200
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,PHILHEALTH Contributions,733,12713,12713,-,10462.5,2250.5
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,ECC Contributions,734,5400,5400,-,4200,1200
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,Loyalty Pay,749,5000,5000,-,5000,-
Econ. Ent. Slaughterhouse or TLAC Center- Personal Services,Monetization of Leave Credits,749,32274,32274,-,22981.65,9292.35
Econ. Ent. Slaughterhouse or TLAC Center- Maintenance and Other Operating Expenses,-,-,856630.18,856630.18,-,651169.38,205460.8
Econ. Ent. Slaughterhouse or TLAC Center- Maintenance and Other Operating Expenses,Traveling Expenses-Local,751,34000,34000,-,33753.2,246.8
Econ. Ent. Slaughterhouse or TLAC Center- Maintenance and Other Operating Expenses,Training Expenses,753,-,-,-,-,-
Econ. Ent. Slaughterhouse or TLAC Center- Maintenance and Other Operating Expenses,Office Supplies Expenses,755,32753.2,32753.2,-,26061.3,6691.9
Econ. Ent. Slaughterhouse or TLAC Center- Maintenance and Other Operating Expenses,Accountable Forms Expenses,756,50000,50000,-,-,50000
Econ. Ent. Slaughterhouse or TLAC Center- Maintenance and Other Operating Expenses,Water Expenses,766,350000,350000,-,265384.1,84615.9
Econ. Ent. Slaughterhouse or TLAC Center- Maintenance and Other Operating Expenses,Electricity Expenses,767,327876.98,327876.98,-,293109.87,34767.11
Econ. Ent. Slaughterhouse or TLAC Center- Maintenance and Other Operating Expenses,Telephone Expenses-Landline,772,12000,12000,-,10220.91,1779.09
Econ. Ent. Slaughterhouse or TLAC Center- Maintenance and Other Operating Expenses,Repair and Maint - Other Machineries and Equipment,840,50000,50000,-,22640,27360
Econ. Ent. Slaughterhouse or TLAC Center- Capital Outlay,-,-,200000,200000,-,196400,3600
Econ. Ent. Slaughterhouse or TLAC Center- Capital Outlay,"Other Property, Plant and Equipment",250,200000,200000,-,196400,3600
Econ. Ent. Cemetery Services,-,-,658412.85,658412.85,-,613323.33,45089.52
Econ. Ent. Cemetery Services- Personal Services,-,-,472074,472074,-,470357.11,1716.89
Econ. Ent. Cemetery Services- Personal Services,Salaries and Wages-Regular,701,326328,326328,-,325242.73,1085.27
Econ. Ent. Cemetery Services- Personal Services,PERA,711,48000,48000,-,48000,-
Econ. Ent. Cemetery Services- Personal Services,Clothing Allowance,715,8000,8000,-,8000,-
Econ. Ent. Cemetery Services- Personal Services,Productivity Incentive Allowance,717,4000,4000,-,4000,-
Econ. Ent. Cemetery Services- Personal Services,Cash Gift,724,10000,10000,-,10000,-
Econ. Ent. Cemetery Services- Personal Services,Year- End Bonus,725,27194,27194,-,27194,-
Econ. Ent. Cemetery Services- Personal Services,Life and Retirement Insurance Contributions,731,39160,39160,-,39095.38,64.62
Econ. Ent. Cemetery Services- Personal Services,PAG-IBIG Contributions,732,2400,2400,-,2400,-
Econ. Ent. Cemetery Services- Personal Services,PHILHEALTH Contributions,733,4050,4050,-,4025,25
Econ. Ent. Cemetery Services- Personal Services,ECC Contributions,734,2400,2400,-,2400,-
Econ. Ent. Cemetery Services- Personal Services,Monetization of Leave Credits,749,542,542,-,-,542
Econ. Ent. Cemetery Services- Maintenance and Other Operating Expenses,-,-,186338.85,186338.85,-,142966.22,43372.63
Econ. Ent. Cemetery Services- Maintenance and Other Operating Expenses,Office Supplies Expenses,755,21338.85,21338.85,-,19607.55,1731.3
Econ. Ent. Cemetery Services- Maintenance and Other Operating Expenses,Water Expenses,766,5000,5000,-,1782.7,3217.3
Econ. Ent. Cemetery Services- Maintenance and Other Operating Expenses,Electricity Expenses,767,150000,150000,-,111593.97,38406.03
Econ. Ent. Cemetery Services- Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,969,10000,10000,-,9982,18
Econ. Ent. Trade Center and Ambulant Enterprise Division,-,-,582385.19,582385.19,-,561198.18,21187.01
Econ. Ent. Trade Center and Ambulant Enterprise Division- Personal Services,-,8853,546966,546966,-,546966,0.96
Econ. Ent. Trade Center and Ambulant Enterprise Division- Personal Services,Salaries and Wages-Regular,701,388392,388392,-,388392,-
Econ. Ent. Trade Center and Ambulant Enterprise Division- Personal Services,PERA,711,48000,48000,-,48000,-
Econ. Ent. Trade Center and Ambulant Enterprise Division- Personal Services,Clothing Allowance,715,8000,8000,-,8000,-
Econ. Ent. Trade Center and Ambulant Enterprise Division- Personal Services,Productivity Incentive Allowance,717,4000,4000,-,4000,-
Econ. Ent. Trade Center and Ambulant Enterprise Division- Personal Services,Cash Gift,724,10000,10000,-,10000,-
Econ. Ent. Trade Center and Ambulant Enterprise Division- Personal Services,Year- End Bonus,725,32366,32366,-,32366,-
Econ. Ent. Trade Center and Ambulant Enterprise Division- Personal Services,Life and Retirement Insurance Contributions,731,46608,46608,-,46607.04,0.96
Econ. Ent. Trade Center and Ambulant Enterprise Division- Personal Services,PAG-IBIG Contributions,732,2400,2400,-,2400,-
Econ. Ent. Trade Center and Ambulant Enterprise Division- Personal Services,PHILHEALTH Contributions,733,4800,4800,-,4800,-
